clones	reads_per_molecule	tool	reads	true_molecules	predicted_clusters	ari	reads_in_split_molecules	reads_in_merged_clusters	seconds	peak_rss_bytes
200	1.2	migec	21585	20000	19992	0.9957	0.0003	0.0011	0.1278	98172928
200	1.2	umi_tools	21585	20000	20001	0.9985	0.0003	0.0002	0.9782	138149888
200	1.2	fgbio	21585	20000	20001	0.9985	0.0003	0.0002	4.0926	370442240
200	2.5	migec	40355	20000	20009	0.9984	0.0017	0.0014	0.1379	147554304
200	2.5	umi_tools	40355	20000	20022	0.9993	0.0016	0.0001	1.0956	138379264
200	2.5	fgbio	40355	20000	20022	0.9993	0.0016	0.0001	3.9001	513933312
200	5.0	migec	89626	20000	20043	0.9985	0.0038	0.0016	0.1792	242024448
200	5.0	umi_tools	89626	20000	20055	0.9994	0.0034	0.0000	1.4928	138625024
200	5.0	fgbio	89626	20000	20054	0.9994	0.0034	0.0000	4.6452	538935296
200	10.0	migec	190417	20000	20107	0.9984	0.0077	0.0025	0.2621	311721984
200	10.0	umi_tools	190417	20000	20123	0.9993	0.0071	0.0002	2.3329	139476992
200	10.0	fgbio	190417	20000	20123	0.9993	0.0071	0.0002	5.5386	585138176
1	5.0	migec	89962	20000	20213	0.9967	0.0111	0.0065	0.1671	245612544
1	5.0	umi_tools	89962	20000	19785	0.9864	0.0056	0.0298	4.6071	244137984
1	5.0	fgbio	89962	20000	19685	0.9817	0.0056	0.0389	7.9799	616677376
20	5.0	migec	89496	20000	20025	0.9980	0.0035	0.0029	0.1747	242991104
20	5.0	umi_tools	89496	20000	20036	0.9991	0.0030	0.0012	1.6205	147193856
20	5.0	fgbio	89496	20000	20030	0.9990	0.0027	0.0014	4.4398	549273600
20000	5.0	migec	89511	20000	20044	0.9987	0.0034	0.0015	0.1855	239828992
20000	5.0	umi_tools	89511	20000	20051	0.9995	0.0029	0.0000	1.8176	142819328
20000	5.0	fgbio	89511	20000	20050	0.9995	0.0028	0.0000	4.5911	598114304
